"","Course.Id","Title","Description","Credits","Learning.Goals","Distribution.Requirements","CO","CW","G","L","Q","A","FS","H","NS","SS","X3.3.4.3.Early.Assurance.Program.with.the.Drexel.University.Thomas.Kline.School.of.Law","X4.4.Admissions.Early.Interview.Program.with.the.New.York.Institute.of.Technology.College.of","Anthropology..B.A.","Anthropology..Environmental.Anthropology.Concentration..B.A.","Art.History..B.A.","Art..Studio.Art..B.A.","Biology..B.A.","Chemistry..B.A.","Communications..B.A.","Communications..B.A...Digital.Production.and.Cinema.Studies.Concentration","Communications..B.A...Journalism.and.Public.Relations.Concentration","Communications..B.A...Media.Studies.Concentration","Economics..B.A.","English..Creative.Writing.Track..B.A.","English..Literature.Track..B.A.","Environmental.Studies..B.A.","Fine.Arts..B.A.","French..B.A.","History..B.A.","Interdisciplinary.Studies..B.A.","International.Studies..Business.Track..B.A.","International.Studies..Political.Science.Track..B.A.","Latin.American.Studies..B.A.","Liberal.Studies..B.A.","Literature..B.A.","Mathematics..B.A.","Philosophy..B.A.","Physics..B.A.","Political.Science..B.A.","Psychology..B.A.","Social.Science..Psychology.and.Human.Service.Professions.Concentration..B.A.","Social.Science..Social.Cultural.Studies.Concentration..B.A.","Sociology..B.A.","Spanish..B.A.","X4.4.Early.Acceptance.Program..EAP..with.the.LECOM.School.of.Dental.Medicine","Dentistry..B.A..B.S..D.D.S...NYU.","General.Education...Core.Requirements","Law..B.A..B.S..J.D...Albany.","Medicine..B.A..B.S..D.O...Lake.Erie.College.of.Osteopathic.Medicine...LECOM.","Medicine..B.A..B.S..D.O...Philadelphia.College.of.Osteopathic.Medicine...PCOM..","Medicine..B.A..B.S..D.O...NEW.YORK.INSTITUTE.OF.TECHNOLOGY.COLLEGE.OF.OSTEOPATHIC.MEDICINE.NYITCOM.","Optometry..B.S..O.D...SUNY.College.of.Optometry.","Pre.Engineering..B.A..B.S..M.S...Columbia.","Scholar.Teacher.Education.Program..STEP...Teaching.English.to.Speakers.of.Other.Languages..TESOL..5.Year.B.A..M.A..or.B.S..M.A.","The.4.4.Collaborative.Affiliation.Agreement.with.the.Buffalo.School.of.Pharmacy.and.Pharmaceutical.Sciences","The.Scholar.Teacher.Education.Program..STEP...B.A..or.B.S.M.A.","Veterinary.Medicine..B.A..or.B.S..D.V.M...Ross.University.School.of.Veterinary.Medicine.","Accounting..B.B.A.","Management..B.B.A.","Management..Finance.Specialization..B.B.A.","Management..Human.Resource.Management.Specialization..B.B.A.","Management..Management.Information.Systems.Specialization..B.B.A.","Management..Marketing.Specialization..B.B.A.","Accounting.Five.Year.B.B.A..M.B.A.","Art.and.Design.Education..B.F.A.","Art.Education..Pre.K.12...B.F.A.","Art..Studio.Art..B.F.A.","Art..Studio.Art..Graphic.Design.Concentration..B.F.A.","Dance..B.F.A.","Theatre.Arts..Acting..B.F.A.","Theatre.Arts..Design.Technology..B.F.A.","Accelerated.Nursing.Program..leading.to.the.B.S..in.Nursing","Biochemistry..B.S.","Biology..B.S.","Business..B.S...through.College.of.Professional.and.Continuing.Studies.","Chemistry..B.S.","Communication.Sciences.and.Disorders..B.S.","Computer.and.Management.Information.Systems..B.S.","Computer.and.Management.Information.Systems..Game.Development.Concentration..B.S.","Computer.and.Management.Information.Systems..Information.Security.Concentration..B.S.","Computer.Science.B.S.","Criminal.Justice..B.S.","Emergency.Services.Administration..B.S.","Exercise.Science..B.S.","Finance..B.S.","Interdisciplinary.Studies..B.S.","Marketing..B.S.","Mathematics..B.S.","Music.Education..B.S.","Music..B.S.","Music..Composition.Concentration..B.S.","Music..Vocal.Performance.Concentration..B.S.","Natural.Sciences..B.S.","Neuroscience..B.S....Cognitive.Neuroscience.Concentration","Neuroscience..B.S....Molecular.Neuroscience.Concentration","Nursing..B.S.","Nursing..R.N..to.B.S.","Physical.Activity.Studies..B.S.","Physical.Education.and.Health.Education..B.S.","Physical.Education..Teaching..B.S.","Physical.Therapy..B.S..D.P.T...New.York.Institute.of.Technology.","Physical.Therapy..B.S..D.P.T...New.York.Medical.College.","Physics..B.S.","Podiatry..B.S..D.P.M..New.York.College.of.Podiatric.Medicine...NYCPM..","Sport.Management..B.S.","ANSWER.Program.Leading.to.Bachelor.of.Social.Work..B.S.W.","Social.Work..B.S.W.","Social.Work..Child.and.Family.Studies.Concentration..B.S.W."
"11","0128-121","Level III French 
Students who fail to receive a C- in Level I I cannot continue to the next level, Level III",,"3","CO,G","",1,0,1,0,0,0,0,0,0,0,5,5,5,1,4,1,3,3,3,5,3,2,1,2,4,4,5,1,1,2,2,3,3,3,5,3,2,4,3,1,2,1,5,2,2,2,2,5,2,3,2,1,3,3,3,2,5,2,3,4,1,2,1,5,3,3,4,3,3,5,2,5,2,4,4,1,4,3,4,1,5,1,4,1,2,1,4,4,1,5,3,3,1,1,3,1,4,1,3,2,1,3,2,4,2,1,1,4
"12","0128-122","Level IV French 
Students who failed to receive a C- in Level III cannot continue to the next level, Level IV",,"3","G,CO","",1,0,1,0,0,0,0,0,0,0,1,4,1,5,3,1,4,5,5,4,4,2,3,4,5,5,3,5,2,1,2,3,4,5,2,4,5,4,4,5,2,4,1,5,4,2,3,3,2,3,5,3,2,4,1,3,4,4,4,5,1,3,4,5,3,5,1,5,5,4,3,4,2,4,4,1,1,3,4,4,4,3,2,2,4,1,5,2,5,5,2,4,3,5,3,3,1,3,4,2,2,2,5,3,4,1,3,3
"13","0128-231","French Cross-Cultural Concepts",,"3","G,CO","",1,0,1,0,0,0,0,0,0,0,3,4,2,3,5,3,1,2,1,3,5,2,3,5,2,4,1,5,3,3,3,3,3,4,4,4,4,3,3,2,2,2,2,2,1,2,4,5,4,1,1,4,5,4,3,1,1,3,3,3,4,4,5,4,5,1,4,1,4,4,3,5,1,4,5,3,1,1,3,1,2,5,2,4,4,3,1,2,1,4,5,4,4,3,1,3,1,5,3,1,3,5,4,5,4,5,5,3
"14","0128-241","French Phonetics and Diction",,"3","CO","",1,0,0,0,0,0,0,0,0,0,3,5,5,4,3,3,4,5,5,1,1,2,1,5,3,4,3,1,5,2,1,5,5,1,5,4,1,4,2,3,1,2,2,4,2,1,2,1,1,1,3,1,3,2,1,1,1,3,5,1,1,1,2,1,4,5,5,2,5,4,4,4,3,1,2,5,4,5,5,5,4,2,3,2,5,1,5,4,4,4,2,3,1,5,3,3,5,1,1,2,2,5,5,2,5,3,5,1
"15","0128-246","France Today",,"3","G,CO","H",1,0,1,0,0,0,0,1,0,0,2,3,4,2,2,2,1,3,4,2,3,5,3,1,2,5,4,2,2,1,4,2,1,4,5,3,2,3,1,1,2,2,3,2,1,3,5,5,2,1,1,3,4,2,4,4,4,1,2,4,2,2,5,1,3,4,1,3,2,5,3,3,1,4,5,4,2,2,5,1,2,4,2,3,2,1,3,2,5,1,2,1,1,2,1,3,4,2,2,5,2,4,3,1,2,4,3,5
"16","0128-251","French Conversation in Practice
Prerequisite: FRE 122 or equivalent",,"3","G,CO","",1,0,1,0,0,0,0,0,0,0,4,3,2,1,1,2,5,4,3,3,3,3,2,5,5,4,1,2,2,4,3,2,1,5,1,3,4,5,3,2,5,1,5,2,5,5,4,4,1,2,2,4,2,4,2,2,1,3,3,5,4,3,2,4,5,5,5,5,1,3,1,2,4,5,1,3,3,1,5,4,2,1,4,4,2,3,2,5,3,3,5,3,1,5,4,5,4,3,1,4,2,5,3,3,1,5,1,4
"17","0128-292","French Speaking World",,"3","G,CO","H",1,0,1,0,0,0,0,1,0,0,3,4,4,5,4,1,5,5,2,2,1,2,1,3,1,4,3,5,2,2,2,3,5,3,5,2,3,4,3,1,4,4,2,1,3,2,2,2,2,3,3,4,4,4,3,4,1,1,4,5,1,1,2,3,5,1,4,3,2,3,1,5,4,3,5,2,1,1,1,1,3,3,4,4,3,2,1,1,4,1,4,3,4,2,2,1,1,2,1,1,3,4,1,1,5,2,4,3
"18","0128-302","Revolutionary France: 1750-1870",,"3","G,CO","H",1,0,1,0,0,0,0,1,0,0,2,4,3,5,3,5,5,2,3,3,3,4,1,3,5,5,5,4,1,5,4,3,1,5,5,2,5,1,2,5,5,3,4,3,4,1,1,4,1,3,1,4,5,2,2,1,4,1,1,2,4,1,4,1,3,3,1,2,4,5,3,4,2,2,3,4,3,2,1,5,1,4,1,1,5,4,3,3,5,2,3,5,2,4,2,3,2,4,3,4,5,3,4,3,5,5,2,2
"19","0128-303","Emergence of Modern France II",,"3","CO","H",1,0,0,0,0,0,0,1,0,0,5,5,2,1,5,5,5,4,2,3,1,4,3,2,3,4,2,2,5,1,2,1,5,2,4,5,5,5,1,3,5,2,3,1,2,4,4,5,5,2,3,1,3,3,5,4,5,3,2,5,2,1,1,5,4,3,3,3,2,5,5,1,4,3,1,3,5,4,1,5,5,4,2,5,4,2,5,3,2,3,1,5,5,2,1,5,2,4,3,5,4,3,1,2,5,4,2,1
"20","0128-310","Strategies in French Oral Communications 
At least 12 credits in French required fo ther majors",,"3","CO","",1,0,0,0,0,0,0,0,0,0,3,2,4,3,2,2,5,5,2,5,2,1,3,4,2,4,5,5,2,3,4,1,1,4,3,5,1,2,1,3,2,4,5,2,3,4,3,3,5,1,1,2,5,1,2,1,5,5,4,2,2,1,1,3,2,5,2,3,2,2,1,4,5,1,1,4,2,5,5,3,5,5,4,4,2,5,4,4,2,2,3,1,3,4,1,3,3,2,3,3,1,3,4,1,3,5,1,4
"21","0128-481","Seminar in French Literature of the 19th Century

Capstone Course",,"3","CO","",1,0,0,0,0,0,0,0,0,0,5,2,3,2,4,5,3,5,3,3,4,5,1,2,5,4,1,5,1,3,4,5,3,4,5,1,5,3,5,3,5,4,4,5,1,5,5,2,1,2,1,2,4,2,5,2,3,3,2,3,2,4,1,1,2,4,2,3,5,2,2,1,4,1,5,1,1,4,2,3,5,3,5,5,4,4,5,1,3,4,5,3,4,5,4,3,3,2,1,5,4,5,5,3,5,2,1,3
"22","0128-482","Seminar in French Literature of the 20th Century

Capstone Course",,"3","CO","",1,0,0,0,0,0,0,0,0,0,5,3,3,1,1,2,2,3,4,5,4,2,2,5,2,3,4,4,4,2,2,5,5,1,4,1,3,4,2,5,3,3,1,5,1,3,2,1,5,2,3,4,4,2,1,5,4,3,5,5,1,2,1,3,4,3,2,2,1,5,3,2,4,2,5,1,2,1,4,1,2,2,1,1,3,4,2,4,1,3,2,2,2,1,3,4,5,2,1,1,2,5,5,5,4,5,4,2
"23","0129-121","Level III Chinese",,"3","CO","",1,0,0,0,0,0,0,0,0,0,1,1,1,3,3,5,2,2,4,5,1,5,3,5,2,2,2,5,3,3,4,5,1,3,5,1,2,1,2,4,1,3,3,5,1,4,3,4,2,1,2,3,1,1,4,2,4,3,1,5,5,1,1,4,5,4,1,1,5,2,2,4,2,2,4,2,3,3,3,3,5,1,1,2,2,5,2,5,3,4,5,4,3,1,5,3,2,3,4,2,3,5,1,5,2,3,2,4
"24","0129-122","Chinese Level IV",,"3","CO,G","",1,0,1,0,0,0,0,0,0,0,4,4,3,1,3,4,2,2,4,3,2,4,1,4,3,4,2,3,1,5,3,4,4,2,1,5,2,5,4,3,1,3,3,4,2,3,3,1,2,2,3,2,2,2,3,2,4,3,1,5,1,2,1,5,5,1,4,1,5,4,5,2,2,4,1,1,5,5,4,1,5,3,5,3,2,2,3,1,3,2,4,2,1,1,1,2,4,1,4,3,5,2,5,3,2,1,3,1
"25","0130-121","Level III German 
Students who failed to receive a C- in Level II cannot continue to the next level, Level IV",,"3","CO,G","",1,0,1,0,0,0,0,0,0,0,3,5,4,1,4,2,3,1,3,2,2,5,3,5,4,5,4,2,3,1,1,3,1,5,3,4,5,1,1,1,5,2,4,2,3,4,5,4,3,1,4,2,1,4,3,3,4,2,1,2,5,5,2,3,3,2,2,1,5,3,1,5,5,2,5,4,5,4,1,4,1,4,2,3,4,5,2,4,3,1,2,3,3,3,2,4,3,3,4,1,1,2,2,5,1,3,2,1
"26","0131-121","Level III Greek",,"3","CO,G","",1,0,1,0,0,0,0,0,0,0,2,5,2,5,1,4,3,4,4,5,3,2,2,4,1,3,4,1,2,4,2,1,3,1,1,2,4,4,2,1,5,1,2,3,3,1,3,3,1,1,4,2,5,1,1,2,5,1,3,5,5,5,1,3,2,1,4,5,5,1,4,1,3,4,3,2,1,3,5,2,1,1,2,4,1,4,5,5,4,2,2,5,1,3,2,5,1,3,5,2,1,2,4,1,3,3,4,1
"27","0131-122","Level IV Greek",,"3","G,CO","",1,0,1,0,0,0,0,0,0,0,5,5,2,5,2,3,4,5,5,5,2,4,2,1,1,2,2,5,1,2,1,3,2,2,3,2,4,3,3,3,3,2,1,2,3,4,4,3,1,3,1,3,2,2,5,4,2,2,3,1,3,2,1,5,3,5,3,2,3,2,1,2,2,5,3,2,1,2,5,3,4,5,2,5,3,2,2,4,4,4,4,1,5,4,1,1,2,2,2,3,4,4,5,3,4,4,3,4
"28","0135-121","Level III Arabic
Students who failed to receive a C- in Level II cannot continue to the next level, Level III",,"3","CO,G","",1,0,1,0,0,0,0,0,0,0,1,3,2,2,3,1,1,4,2,4,1,1,2,4,4,3,4,1,4,3,4,3,3,1,2,4,1,2,1,1,2,4,1,3,2,3,3,5,1,1,4,3,5,2,2,2,2,3,2,1,2,4,2,4,2,5,1,5,1,5,2,3,3,2,4,5,1,4,2,5,1,2,3,5,3,4,3,2,2,2,5,4,1,1,4,2,4,1,3,2,1,3,4,3,4,3,2,3
"29","0138-121","Level III Italian 
Students who failed to receive a C- in Level II cannot continue to the next level, Level III",,"3","CO,G","",1,0,1,0,0,0,0,0,0,0,3,5,4,1,4,2,1,1,5,2,3,2,2,4,2,5,4,1,5,5,4,1,4,5,5,1,2,1,1,1,4,5,2,1,3,4,1,5,1,2,3,1,2,4,4,4,4,4,4,3,3,1,3,4,3,5,5,5,5,2,4,3,4,3,1,3,3,2,2,2,4,2,4,5,1,3,5,4,4,4,2,5,1,1,3,2,4,2,5,1,5,3,2,3,4,2,2,3
"30","0138-122","Level IV Italian 
Students who failed to receive a C- in Level III cannot continue to the next level, Level IV",,"3","G,CO","",1,0,1,0,0,0,0,0,0,0,1,1,2,3,3,1,5,2,3,4,5,1,5,2,3,2,4,2,4,5,3,1,3,1,5,5,4,1,4,1,2,5,5,5,1,5,1,4,3,4,1,1,2,5,3,5,1,5,5,2,4,2,3,1,4,5,4,2,1,5,1,2,1,3,2,2,5,4,4,3,1,2,1,1,5,1,3,4,4,3,4,4,3,3,1,1,2,4,1,4,2,5,1,1,5,3,5,2
"31","0138-251","Italian Conversation in Practice",,"3","CO","",1,0,0,0,0,0,0,0,0,0,2,3,2,5,5,5,5,3,1,3,3,3,5,3,1,5,4,5,2,2,5,3,1,4,3,4,5,4,1,5,4,3,4,4,3,3,2,3,1,1,4,2,4,5,5,1,4,4,4,5,1,3,2,1,3,5,3,5,5,2,3,4,3,5,3,4,2,5,4,2,3,2,4,3,1,1,3,2,2,5,4,4,3,5,3,1,2,1,5,2,1,1,2,4,5,1,3,4
"32","0141-121","Level III Japanese",,"3","CO,G","",1,0,1,0,0,0,0,0,0,0,2,5,2,5,4,5,4,3,3,2,2,4,1,1,1,5,1,5,3,5,5,4,2,5,2,5,5,4,3,2,2,1,1,4,4,2,4,1,2,4,3,1,5,1,3,5,2,4,3,1,4,2,3,3,4,1,5,5,1,2,2,2,5,5,5,2,3,5,1,1,5,1,1,2,1,4,3,1,2,5,2,1,4,1,4,3,4,4,1,1,2,1,2,1,3,3,3,3
"33","0141-122","Level IV Japanese
Students who failed to receive a C- in Level III cannot comtinue to the next level, Level IV",,"3","G,CO","",1,0,1,0,0,0,0,0,0,0,1,5,2,1,5,3,4,3,1,1,4,1,1,3,5,2,4,3,2,1,2,1,4,1,4,2,2,3,1,2,1,3,2,3,4,2,5,3,2,5,1,3,5,2,1,4,3,5,1,4,4,3,5,1,3,3,1,4,1,1,5,2,4,3,3,1,4,2,2,2,5,2,3,5,3,1,2,2,1,4,4,5,3,2,3,5,1,4,2,3,3,2,4,4,3,3,5,5
"34","0170-150","Sociology of Global Social Problems",,"3","G,CO","SS",1,0,1,0,0,0,0,0,0,1,1,2,4,5,1,4,3,5,1,3,4,1,5,1,5,3,4,2,2,4,4,3,2,2,5,1,3,4,1,3,5,4,1,2,5,2,1,1,2,4,2,2,3,5,3,4,3,1,3,5,2,4,3,4,5,3,2,5,2,5,2,3,4,2,1,3,2,1,4,5,2,2,5,3,2,1,3,4,1,2,3,2,4,2,5,5,1,1,1,4,1,1,2,3,5,3,3,1
"35","0170-224","Exploring Disability Through Theatre",,"3","CO","SS",1,0,0,0,0,0,0,0,0,1,3,2,2,3,5,1,4,4,4,3,4,3,1,4,3,3,3,4,3,4,4,5,2,2,1,4,3,5,2,2,5,1,3,4,2,4,1,4,3,4,5,3,5,4,1,4,3,4,5,3,5,1,2,4,2,1,1,5,4,5,3,2,5,4,3,5,3,5,2,5,2,3,1,5,1,4,1,2,5,2,1,2,4,2,5,4,1,1,2,4,5,5,1,2,2,2,3,1
"36","0170-370","The Role of Race In Contemporary U.S. and Global Society",,"3","G,CO","SS",1,0,1,0,0,0,0,0,0,1,5,3,3,4,5,3,5,5,5,1,4,5,3,4,4,5,2,3,3,2,3,4,5,1,3,4,3,5,1,2,1,1,3,5,3,1,3,2,5,4,1,3,5,1,2,1,4,1,3,2,3,5,1,2,3,4,5,1,4,1,5,5,1,3,2,4,1,5,1,2,4,5,3,1,2,3,2,4,1,4,5,1,3,1,2,3,3,5,3,5,4,2,1,3,4,1,1,1
"37","0172-121","Level III Spanish 
Prerequisite: SPA 112 or equivalent",,"3","CO,G","",1,0,1,0,0,0,0,0,0,0,4,1,4,2,2,1,2,5,3,2,4,1,1,2,3,3,2,3,5,4,1,1,3,2,3,2,4,1,4,5,3,4,5,4,1,3,5,2,1,2,3,3,1,2,1,4,2,4,3,4,1,4,4,4,5,2,2,4,4,3,1,2,1,1,2,1,2,1,5,4,2,3,3,5,1,3,2,5,1,1,4,4,5,1,5,2,5,1,2,2,1,3,4,1,2,1,1,5
